outcome,variable,est,lower,upper
Moderate ASB,PGS x Sex,1.228,0.803,1.904
Moderate ASB,PGS x Income,1.070,0.748,1.570
Moderate ASB,PGS x Parental Education,0.959,0.770,1.200
Moderate ASB,PGS x Single Parent,1.115,0.703,1.822
Moderate ASB,High SUB,1.919*,1.265,3.121
Moderate ASB,Low SUB,0.362*,0.182,0.622
Adolescent-Peaked ASB,Supportive Parenting,0.808,0.589,1.168
Adolescent-Peaked ASB,Delinquent Peer Affiliation,2.289*,1.766,3.297
Adolescent-Peaked ASB,School Connectedness,0.817,0.590,1.169
Adolescent-Peaked ASB,Neighborhood Connectedness,0.930,0.678,1.366
Adolescent-Peaked ASB,Total Effect,1.900*,1.214,3.121
Adolescent-Peaked ASB,Parent Indirect Effect,1.012,0.989,1.044
Adolescent-Peaked ASB,Peer Indirect Effect,1.064*,1.013,1.140
Adolescent-Peaked ASB,School Indirect Effect,1.007,0.993,1.034
Adolescent-Peaked ASB,Neighborhood Indirect Effect,0.999,0.987,1.012
Adolescent-Peaked ASB,PGS Direct Effect,1.752*,1.145,2.872
Adolescent-Peaked ASB,PGS x Parent,1.332,0.960,1.802
Adolescent-Peaked ASB,PGS x Peer,0.928,0.664,1.231
Adolescent-Peaked ASB,PGS x School,0.953,0.677,1.318
Adolescent-Peaked ASB,PGS x Neighborhood,1.089,0.766,1.556
Adolescent-Peaked ASB,Age,0.802*,0.641,0.954
Adolescent-Peaked ASB,Female Sex,0.170*,0.065,0.332
Adolescent-Peaked ASB,Family Income,1.765*,1.007,3.317
Adolescent-Peaked ASB,Parental Education,1.001,0.708,1.327
Adolescent-Peaked ASB,Single Parent,2.986*,1.363,7.493
Adolescent-Peaked ASB,PGS x Age,0.992,0.816,1.204
Adolescent-Peaked ASB,PGS x Sex,1.455,0.790,3.053
Adolescent-Peaked ASB,PGS x Income,0.780,0.422,1.442
Adolescent-Peaked ASB,PGS x Parental Education,0.949,0.673,1.287
Adolescent-Peaked ASB,PGS x Single Parent,0.700,0.323,1.629
Adolescent-Peaked ASB,High SUB,1.165,0.557,2.347
Adolescent-Peaked ASB,Low SUB,0.409,0.111,1.038
