outcome,variable,est,lower,upper
Moderate ASB,PGS Direct Effect,1.094,0.969,1.256
Moderate ASB,PGS x Parent,1.078,0.953,1.223
Moderate ASB,PGS x Peer,1.006,0.901,1.137
Moderate ASB,PGS x School,0.972,0.843,1.102
Moderate ASB,PGS x Neighborhood,0.969,0.850,1.102
Moderate ASB,Age,0.899*,0.823,0.970
Moderate ASB,Female Sex,0.270*,0.206,0.345
Moderate ASB,Family Income,1.057,0.868,1.351
Moderate ASB,Parental Education,1.070,0.945,1.208
Moderate ASB,Single Parent,0.968,0.712,1.242
Moderate ASB,White,1.155,0.000,19811.146
Moderate ASB,Native,1.250,0.470,2.460
Moderate ASB,Other Race,2.319,0.001,59.264
Moderate ASB,Hispanic,1.343,0.390,3.193
Moderate ASB,PGS x Age,1.007,0.925,1.081
Moderate ASB,PGS x Sex,1.078,0.833,1.368
Moderate ASB,PGS x Income,0.978,0.802,1.184
Moderate ASB,PGS x Parental Education,1.083,0.951,1.245
Moderate ASB,PGS x Single Parent,0.841,0.635,1.162
Moderate ASB,High SUB,2.081*,1.682,2.886
Moderate ASB,Low SUB,0.409*,0.226,0.694
Adolescent-Peaked ASB,Supportive Parenting,0.781*,0.686,0.926
Adolescent-Peaked ASB,Delinquent Peer Affiliation,2.075*,1.791,2.482
Adolescent-Peaked ASB,School Connectedness,0.771*,0.646,0.931
Adolescent-Peaked ASB,Neighborhood Connectedness,1.005,0.862,1.201
Adolescent-Peaked ASB,Total Effect,1.201,0.905,1.553
Adolescent-Peaked ASB,Parent Indirect Effect,1.013*,1.003,1.029
Adolescent-Peaked ASB,Peer Indirect Effect,1.106*,1.073,1.142
Adolescent-Peaked ASB,School Indirect Effect,1.027*,1.007,1.050
Adolescent-Peaked ASB,Neighborhood Indirect Effect,1.000,0.988,1.008
Adolescent-Peaked ASB,PGS Direct Effect,1.043,0.799,1.328
Adolescent-Peaked ASB,PGS x Parent,0.925,0.783,1.077
Adolescent-Peaked ASB,PGS x Peer,0.998,0.848,1.161
Adolescent-Peaked ASB,PGS x School,0.982,0.798,1.172
Adolescent-Peaked ASB,PGS x Neighborhood,1.031,0.871,1.241
Adolescent-Peaked ASB,Age,0.714*,0.632,0.796
Adolescent-Peaked ASB,Female Sex,0.351*,0.243,0.496
Adolescent-Peaked ASB,Family Income,1.164,0.919,1.516
Adolescent-Peaked ASB,Parental Education,1.031,0.842,1.201
Adolescent-Peaked ASB,Single Parent,1.133,0.689,1.670
Adolescent-Peaked ASB,White,7.706,0.283,1162403.032
Adolescent-Peaked ASB,Native,1.113,0.343,2.680
Adolescent-Peaked ASB,Other Race,5.697,0.170,83.429
Adolescent-Peaked ASB,Hispanic,2.286,0.261,9.612
Adolescent-Peaked ASB,PGS x Age,1.003,0.888,1.111
Adolescent-Peaked ASB,PGS x Sex,1.078,0.728,1.559
Adolescent-Peaked ASB,PGS x Income,0.963,0.750,1.210
Adolescent-Peaked ASB,PGS x Parental Education,1.036,0.890,1.235
Adolescent-Peaked ASB,PGS x Single Parent,1.309,0.836,1.952
Adolescent-Peaked ASB,High SUB,1.813*,1.235,2.656
Adolescent-Peaked ASB,Low SUB,0.570,0.235,1.089
