outcome,variable,est,lower,upper
Moderate ASB,Female Sex,0.305*,0.137,0.593
Moderate ASB,Family Income,0.671,0.372,1.255
Moderate ASB,Parental Education,1.207,0.857,1.677
Moderate ASB,Single Parent,0.825,0.323,1.738
Moderate ASB,PGS x Age,1.181,0.952,1.498
Moderate ASB,PGS x Sex,1.366,0.678,3.121
Moderate ASB,PGS x Income,0.955,0.505,1.631
Moderate ASB,PGS x Parental Education,0.960,0.713,1.350
Moderate ASB,PGS x Single Parent,0.958,0.407,2.155
Moderate ASB,High SUB,3.203*,1.689,7.516
Moderate ASB,Low SUB,0.484,0.131,1.133
Adolescent-Peaked ASB,Supportive Parenting,0.828,0.490,1.405
Adolescent-Peaked ASB,Delinquent Peer Affiliation,2.557*,1.718,4.745
Adolescent-Peaked ASB,School Connectedness,0.846,0.507,1.288
Adolescent-Peaked ASB,Neighborhood Connectedness,0.808,0.479,1.290
Adolescent-Peaked ASB,Total Effect,1.183,0.622,2.499
Adolescent-Peaked ASB,Parent Indirect Effect,1.006,0.978,1.060
Adolescent-Peaked ASB,Peer Indirect Effect,1.057,0.969,1.190
Adolescent-Peaked ASB,School Indirect Effect,0.996,0.957,1.026
Adolescent-Peaked ASB,Neighborhood Indirect Effect,1.014,0.981,1.079
Adolescent-Peaked ASB,PGS Direct Effect,1.101,0.593,2.173
Adolescent-Peaked ASB,PGS x Parent,0.933,0.504,1.595
Adolescent-Peaked ASB,PGS x Peer,1.111,0.693,1.931
Adolescent-Peaked ASB,PGS x School,0.929,0.465,1.626
Adolescent-Peaked ASB,PGS x Neighborhood,0.996,0.631,1.749
Adolescent-Peaked ASB,Age,0.725*,0.536,0.928
Adolescent-Peaked ASB,Female Sex,0.309*,0.083,0.730
Adolescent-Peaked ASB,Family Income,0.906,0.402,2.034
Adolescent-Peaked ASB,Parental Education,1.081,0.687,1.556
Adolescent-Peaked ASB,Single Parent,1.537,0.547,4.486
Adolescent-Peaked ASB,PGS x Age,0.918,0.685,1.185
Adolescent-Peaked ASB,PGS x Sex,1.276,0.496,3.522
Adolescent-Peaked ASB,PGS x Income,0.912,0.374,1.813
Adolescent-Peaked ASB,PGS x Parental Education,0.861,0.528,1.363
Adolescent-Peaked ASB,PGS x Single Parent,1.001,0.313,3.059
Adolescent-Peaked ASB,High SUB,1.181,0.436,3.013
Adolescent-Peaked ASB,Low SUB,0.211*,0.000,0.788
