     0.000      0.000     -0.342      3.405     -2.633     -1.631     -2.377      1.910     -0.500     -0.273      2.035      0.813     -8.096      6.261      3.877     -4.542      1.189      0.649     -4.837     -1.189      1.000      0.000      0.000      0.000      1.000      0.500      1.000      0.000      1.000      0.000      0.000 91540358
     1.000      2.000     -2.168     -0.998      0.526     -0.020      0.678     -2.090      0.500      0.003      1.035     -1.471     -0.677      0.357     -0.013     -1.418      0.339      0.002      0.702     -0.339      1.000      0.000      0.000      0.000      0.000     -0.500      0.000      0.000      0.000      1.000      0.000 98710078
     3.000      2.000     -0.257     -0.998      1.012     -0.842      0.577      1.410      0.500          *     -1.965     -0.149     -0.576      0.584     -0.486      0.814      0.289          *     -1.135     -0.289      1.000      0.000      0.000      0.000      1.000     -0.500      0.000      0.000      0.000      0.000      0.000 93576491
     3.000      2.000      0.271      0.157      0.526      0.588     -1.000     -1.590     -0.500      0.568      0.535     -0.271     -0.157     -0.526     -0.588      1.589      0.500     -0.568     -0.535      0.500      1.000      1.000      0.000      0.000      1.000     -0.500      0.000      0.000      0.000      0.000      0.000 93572927
     3.000      1.000     -0.378     -0.998     -0.676     -0.647     -0.570      0.160      0.500     -0.966     -1.965      0.216      0.569      0.385      0.369     -0.092     -0.285      0.551      1.121     -0.285      1.000      0.000      0.000      0.000      1.000      0.500      0.000      1.000      0.000      0.000      0.000 91503302
     3.000      0.000     -0.673      2.325      0.025      0.513     -1.251      3.160     -0.500          *      0.035      0.843     -2.909     -0.031     -0.643     -3.955      0.626          *     -0.043      0.626      1.000      0.000      0.000      0.000      1.000     -0.500      1.000      0.000      0.000      0.000      0.000 95574185
     3.000      1.000      1.134     -0.715      0.553     -1.528     -1.919     -2.590      0.500     -0.656          *     -2.177      1.373     -1.062      2.932      4.969     -0.960      1.259          *     -0.960      1.000      0.000      0.000      0.000      1.000      0.500      0.000      1.000      0.000      0.000      0.000 98716028
     3.000      0.000     -3.912      0.137     -3.588     -2.185      1.189     -1.756      0.500      0.220      0.035     -4.652      0.163     -4.267     -2.599     -2.089      0.595      0.261      0.041      0.595      0.000      0.000      0.000      1.000      1.000      0.500      1.000      0.000      0.000      0.000      0.000 98503603
     2.000      0.000      1.168      3.405      0.540      1.068     -0.145     -1.090     -0.500          *      1.535     -0.170     -0.494     -0.078     -0.155      0.158      0.073          *     -0.223      0.073      0.000      0.000      0.000      1.000      1.000     -0.500      1.000      0.000      0.000      0.000      1.000 90575114
     3.000      0.000      0.340     -0.715     -0.677      0.109      0.523     -3.423      0.500     -0.228      1.035      0.178     -0.374     -0.354      0.057     -1.792      0.262     -0.120      0.541      0.262      0.000      0.000      0.000      1.000      0.000      0.500      1.000      0.000      0.000      0.000      0.000 91716952
     3.000      2.000      0.351     -0.998      0.776      0.588      0.547     -1.006      0.500      0.191     -0.465      0.192     -0.546      0.425      0.322     -0.551      0.274      0.105     -0.255     -0.274      1.000      0.000      0.000      0.000      1.000     -0.500      0.000      0.000      0.000      0.000      0.000 91716859
     3.000      2.000      1.075      1.189          *      1.068     -0.073      2.327     -0.500          *      0.035     -0.078     -0.087          *     -0.078     -0.170      0.036          *     -0.003      0.036      1.000      0.000      0.000      1.000      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 91881972
     3.000      2.000      0.171      0.420     -0.203      0.809      0.336      3.077     -0.500     -0.531     -0.965      0.058      0.141     -0.068      0.272      1.035     -0.168     -0.178     -0.325     -0.168      0.000      0.000      0.000      1.000      1.000     -0.500      0.000      0.000      0.000      0.000      0.000 94576994
     1.000      0.000     -0.743      0.772     -2.369     -0.827      0.512     -0.340     -0.500      0.350          *     -0.380      0.396     -1.213     -0.424     -0.174     -0.256      0.179          *     -0.256      0.000      0.000      0.000      1.000      1.000     -0.500      1.000      0.000      0.000      1.000      0.000 97506492
     2.000      2.000      0.918     -0.403      0.284      0.809      0.082     -0.173     -0.500     -1.572      0.035      0.076     -0.033      0.023      0.067     -0.014     -0.041     -0.129      0.003      0.041      1.000      0.000      0.000      0.000      1.000      0.500      0.000      0.000      0.000      0.000      1.000 90500854
     3.000      1.000      0.303     -0.998      0.298      0.551      0.422     -0.423     -0.500     -0.966      0.035      0.128     -0.422      0.126      0.233     -0.179     -0.211     -0.408      0.015     -0.211      1.000      1.000      0.000      0.000      1.000     -0.500      0.000      1.000      0.000      0.000      0.000 94636953
     2.000      2.000     -0.412      2.865     -0.689      0.367      0.694      0.160     -0.500     -0.145     -1.965     -0.286      1.988     -0.478      0.255      0.111     -0.347     -0.101     -1.364     -0.347      1.000      0.000      0.000      0.000      1.000     -0.500      0.000      0.000      0.000      0.000      1.000 96506597
     3.000      0.000     -2.709      1.785     -0.676      0.330      1.623     -1.423      0.500      0.747      0.035     -4.395      2.896     -1.097      0.535     -2.309      0.811      1.212      0.056     -0.811      0.000      0.000      0.000      1.000      0.000     -0.500      1.000      0.000      0.000      0.000      0.000 96574587
     3.000      1.000      1.168     -0.686      1.004      1.030     -0.936      1.160      0.500      0.568          *     -1.093      0.642     -0.939     -0.964     -1.086     -0.468     -0.532          *      0.468      0.000      0.000      0.000      1.000      1.000     -0.500      0.000      1.000      0.000      0.000      0.000 90506398
     3.000      1.000          *     -0.998      1.239      1.068     -2.057      2.910     -0.500      0.420          *          *      2.054     -2.549     -2.197     -5.986      1.028     -0.864          *      1.028      0.000      0.000      0.000      1.000      1.000     -0.500      0.000      1.000      0.000      0.000      0.000 93573505
     3.000      1.000      1.064     -0.998      0.498      0.448      0.302      1.327     -0.500      0.643      1.035      0.321     -0.301      0.150      0.135      0.401     -0.151      0.194      0.312     -0.151      1.000      0.000      0.000      0.000      1.000     -0.500      0.000      1.000      0.000      0.000      0.000 90576594
     3.000      2.000      0.195     -0.888      0.753      1.030     -2.317     -3.840     -0.500      0.350      1.535     -0.453      2.058     -1.746     -2.388      8.898      1.159     -0.810     -3.556      1.159      1.000      1.000      0.000      0.000      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 91786978
     3.000      1.000      0.188      1.263      0.011      0.462     -1.589      0.910      0.500          *      0.035     -0.299     -2.007     -0.017     -0.735     -1.446     -0.794          *     -0.055      0.794      1.000      0.000      0.000      0.000      1.000     -0.500      0.000      1.000      0.000      0.000      0.000 92574140
     3.000      1.000      0.906      0.936      1.245      0.809      1.813     -0.756      0.500     -1.061     -1.465      1.643      1.697      2.257      1.468     -1.371      0.907     -1.925     -2.657     -0.907      1.000      0.000      0.000      0.000      1.000     -0.500      0.000      1.000      0.000      0.000      0.000 97570558
     3.000      2.000     -1.142      1.729     -0.686      0.809      0.269      0.327      0.500      1.346     -1.465     -0.307      0.465     -0.184      0.218      0.088      0.134      0.362     -0.394     -0.134      1.000      0.000      0.000      0.000      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 94506498
