     3.000      0.000     -0.666      0.430     -1.475     -0.887      0.407     -0.687     -0.500      0.048     -0.024     -0.271      0.175     -0.601     -0.361     -0.280     -0.204      0.019     -0.010     -0.204      0.000     -0.500      1.000      0.000      0.000      0.000      0.000 90576145
     1.000      2.000      0.051     -0.422     -0.939     -0.811      0.029     -1.187     -0.500      0.218      0.476      0.002     -0.012     -0.028     -0.024     -0.035     -0.015      0.006      0.014     -0.015      0.000     -0.500      0.000      0.000      0.000      1.000      0.000 92575112
     3.000      2.000      0.421     -0.746      0.106      0.234      1.841     -0.437     -0.500     -1.516     -2.524      0.775     -1.373      0.195      0.430     -0.804     -0.920     -2.791     -4.647     -0.920      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 95576837
     1.000      0.000      0.489     -0.402     -1.983     -0.667     -1.432     -1.187     -0.500      0.218     -0.024     -0.700      0.575      2.840      0.955      1.699      0.716     -0.313      0.035      0.716      0.000     -0.500      1.000      0.000      0.000      1.000      0.000 96575990
     3.000      1.000      0.660      0.225      0.110      1.434      0.181      0.897      0.500      0.476      0.976      0.120      0.041      0.020      0.260      0.163      0.091      0.086      0.177     -0.091      0.000     -0.500      0.000      1.000      0.000      0.000      0.000 95506296
     3.000      0.000     -0.748     -0.402      0.349      0.174     -1.788      0.897     -0.500          *      0.976      1.337      0.718     -0.623     -0.310     -1.603      0.894          *     -1.744      0.894      0.000     -0.500      1.000      0.000      0.000      0.000      0.000 98506796
     3.000      2.000     -2.048     -0.453     -0.182     -0.072      0.438     -1.603      0.500          *          *     -0.897     -0.198     -0.080     -0.032     -0.702      0.219          *          *     -0.219      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 96540916
     3.000      2.000      1.191     -0.746      1.959      0.786      0.693      0.230     -0.500          *          *      0.826     -0.517      1.358      0.545      0.159     -0.347          *          *     -0.347      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 91576497
     1.000      1.000      0.083     -0.746     -0.166      0.118     -0.233      0.647      0.500          *     -1.024     -0.019      0.174      0.039     -0.028     -0.150     -0.116          *      0.238      0.116      0.000     -0.500      0.000      1.000      0.000      1.000      0.000 96576298
     3.000      2.000     -1.118     -0.453      0.626      0.713     -0.545      1.730      0.500      0.752     -1.024      0.609      0.247     -0.341     -0.388     -0.942     -0.272     -0.410      0.558      0.272      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 91586945
     2.000      0.000      0.221      1.663      1.414     -0.527     -0.969      0.813     -0.500          *      1.476     -0.214     -1.613     -1.371      0.511     -0.788      0.485          *     -1.431      0.485      0.000     -0.500      1.000      0.000      0.000      0.000      1.000 96576294
     3.000      1.000      0.779     -0.129     -1.979     -1.279      0.793      2.063      0.500     -0.495      1.476      0.617     -0.102     -1.569     -1.015      1.636      0.396     -0.392      1.170     -0.396      0.000     -0.500      0.000      1.000      0.000      0.000      0.000 92576297
     3.000      1.000      1.191     -0.746      0.135      0.018     -0.496     -0.437     -0.500     -0.050     -0.524     -0.591      0.370     -0.067     -0.009      0.217      0.248      0.025      0.260      0.248      0.000     -0.500      0.000      1.000      0.000      0.000      0.000 95576691
     3.000      2.000     -0.850      0.164      0.918      0.180      0.872     -0.187     -0.500      0.000      0.976     -0.741      0.143      0.801      0.157     -0.163     -0.436      0.000      0.851     -0.436      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 90576398
     2.000      2.000     -0.474     -0.746     -1.203     -0.595     -0.297     -0.853      0.500      0.549      1.476      0.141      0.221      0.357      0.176      0.253     -0.148     -0.163     -0.438      0.148      0.000     -0.500      0.000      0.000      0.000      0.000      1.000 94576199
     2.000      1.000     -0.621     -0.453     -0.152      1.434     -0.025     -0.270      0.500          *      0.976      0.016      0.011      0.004     -0.036      0.007     -0.013          *     -0.025     -0.013      0.000      0.500      0.000      1.000      0.000      0.000      1.000 96575295
     3.000      2.000      0.982     -0.160      1.712     -0.180     -0.326      4.313     -0.500     -1.005      0.476     -0.320      0.052     -0.558      0.059     -1.406      0.163      0.328     -0.155      0.163      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 91580985
     3.000      2.000     -1.695      1.813     -3.847     -0.743      1.230      1.980      0.500      0.549          *     -2.085      2.230     -4.733     -0.914      2.436      0.615      0.676          *     -0.615      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 91506295
     3.000      1.000      0.716     -0.746      0.408      0.750     -1.061      1.313     -0.500     -1.229     -0.024     -0.759      0.791     -0.433     -0.795     -1.393      0.530      1.303      0.026     -0.530      0.000      0.500      0.000      1.000      0.000      0.000      0.000 91543309
     3.000      2.000      0.823     -0.453     -0.142      0.966      1.185      0.230      0.500      0.397      1.476      0.975     -0.536     -0.168      1.144      0.272      0.592      0.471      1.748     -0.592      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 97508736
     3.000      1.000      0.104     -0.746     -2.252     -1.203      1.017      0.480     -0.500     -2.104          *      0.106     -0.759     -2.292     -1.224      0.488     -0.509     -2.141          *      0.509      0.000      0.500      0.000      1.000      0.000      0.000      0.000 99576692
     3.000      2.000      1.191      1.067     -1.228      0.865      0.313     -0.603     -0.500          *          *      0.373      0.334     -0.384      0.271     -0.189     -0.156          *          *     -0.156      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 97506591
     0.000      2.000      0.957      2.285      0.379     -2.203      0.943     -1.103     -0.500     -0.346     -2.024      0.902      2.155      0.357     -2.077     -1.041     -0.472     -0.326     -1.909     -0.472      0.000     -0.500      0.000      0.000      1.000      0.000      0.000 94540213
     3.000      2.000     -0.304     -0.746     -0.162     -0.180      1.388     -0.687     -0.500          *     -3.024     -0.421     -1.035     -0.224     -0.249     -0.953     -0.694          *     -4.197     -0.694      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 95574234
     1.000      0.000      0.057      1.227     -0.935      0.865     -0.718     -1.770      0.500          *          *     -0.041     -0.881      0.671     -0.621      1.271     -0.359          *          *     -0.359      0.000      0.500      1.000      0.000      0.000      1.000      0.000 92676951
