     1.112     -1.019      1.587     -0.964     -0.715     -2.517      0.500     -0.757      1.258      0.500 96717912
     0.870      0.271      0.863      0.267      0.116     -0.934      0.500     -0.334      0.258     -0.500 91588998
     0.000      1.555     -1.662     -1.251      2.698      0.983      0.500     -0.205      0.258     -0.500 91588942
     0.207     -1.019     -2.559      0.939      0.094      1.733      0.500      0.409     -1.742      0.500 99578369
     1.112      0.556     -1.612     -0.023     -0.733      0.650      0.500     -0.994      1.258      0.500 93504422
     1.030     -1.019      0.902      0.939     -1.222     -1.184     -0.500      0.324      0.258     -0.500 91571911
    -0.315      0.282     -1.645     -1.897      0.187      0.816      0.500      0.127     -0.742      0.500 98578449
     1.112     -1.019      1.358      0.048      0.209     -1.434      0.500     -0.091     -0.742      0.500 94575866
     0.245      0.980      0.227      0.653     -0.686      1.650      0.500      0.425      0.258     -0.500 95575369
     0.862     -1.019      0.435      1.185      0.843      1.900     -0.500      0.913      0.258     -0.500 94574838
    -0.299     -1.019     -0.268      1.185      1.739     -0.267      0.500     -0.444     -0.242      0.500 96710288
     0.123     -0.717     -0.025      1.185     -0.635     -0.350      0.500      0.012     -1.242     -0.500 96575067
     1.149      0.906     -0.268     -1.574     -0.308     -0.684     -0.500     -0.268     -0.742     -0.500 92675989
     0.123     -1.019     -0.011      0.407     -1.691      0.233      0.500      0.127      1.258     -0.500 99572268
     0.751     -1.019      0.431      0.898     -2.103     -0.684     -0.500      0.127     -0.742     -0.500 92574887
    -3.717      0.324     -2.153     -1.425      0.865      0.483      0.500      0.036      1.258     -0.500 92546995
    -0.467      0.240      1.110     -0.205      0.236     -1.350     -0.500     -0.929     -1.742     -0.500 96719374
     0.150      0.250     -0.713      0.252     -0.351     -0.434     -0.500     -0.118      0.258     -0.500 98500032
     0.815     -1.019     -0.033      0.162     -1.120     -1.684     -0.500      0.561      1.258     -0.500 10506342
    -0.081     -1.019     -1.167      1.185     -0.595     -1.767      0.500     -0.038      0.258     -0.500 96712049
    -0.051      0.885     -0.734      1.185      0.119      0.983      0.500     -1.137     -0.742      0.500 93575383
     1.112     -0.443      1.582      0.939      0.219     -1.850     -0.500     -1.756      0.258      0.500 91882902
    -0.255     -1.019     -0.271     -0.648     -0.428     -0.767     -0.500      0.409      1.258      0.500 95576414
     1.149     -0.083     -0.232     -1.180      0.141      2.983     -0.500      0.561     -0.742     -0.500 99570894
     0.204     -0.443     -0.033     -0.281      0.056     -0.100      0.500     -0.146     -0.742     -0.500 99573256
    -1.358      1.947     -1.212     -1.180     -0.245      1.983     -0.500     -0.118     -0.742     -0.500 91581965
     0.279     -0.114     -3.477     -0.306      0.883      1.650     -0.500     -0.118     -0.742     -0.500 93572314
    -2.307     -0.030     -2.343     -0.167     -0.750      1.983      0.500      1.602     -0.242     -0.500 91885960
     0.363     -0.443      0.431     -0.484     -1.116      0.233     -0.500     -0.118     -0.742     -0.500 99573257
     1.149     -1.019      1.587      1.185     -0.257     -0.267      0.500      0.913      0.258     -0.500 91578544
