     3.000      2.000     -1.509      2.223     -0.843     -1.432      0.489      0.769      0.500          *     -0.225     -0.738      1.088     -0.412     -0.701      0.376      0.245          *     -0.110     -0.245      0.000      1.000      0.000      0.000      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 97506154
     3.000      2.000      0.595      0.383      0.995      0.820      0.447     -0.897     -0.500     -0.495      0.275      0.266      0.171      0.444      0.366     -0.401     -0.223     -0.221      0.123      0.223      0.000      1.000      0.000      0.000      0.000      0.500      0.000      0.000      0.000      0.000      0.000 97575258
     1.000      2.000      0.522      2.036     -0.373     -0.188     -1.002     -2.897      0.500     -0.068      0.275     -0.523     -2.040      0.374      0.188      2.902     -0.501      0.068     -0.276     -0.501      0.000      1.000      0.000      0.000      0.000      0.500      0.000      0.000      0.000      1.000      0.000 14574194
     3.000      0.000      0.495      0.355     -0.395      1.058     -1.194     -1.397     -0.500     -0.495     -1.225     -0.592     -0.423      0.472     -1.264      1.669      0.597      0.592      1.463      0.597      0.000      1.000      0.000      0.000      0.000     -0.500      1.000      0.000      0.000      0.000      0.000 90714014
     3.000      2.000      1.010      0.386      0.234     -1.339      0.738     -2.147      0.500     -0.719          *      0.745      0.285      0.173     -0.988     -1.584      0.369     -0.530          *      0.369      0.000      1.000      0.000      0.000      0.000      0.500      0.000      0.000      0.000      0.000      0.000 97714991
     3.000      0.000      1.045     -0.897      0.070     -0.481     -0.973     -0.231     -0.500     -0.495     -0.725     -1.017      0.873     -0.068      0.468      0.225      0.487      0.482      0.705      0.487      0.000      1.000      0.000      0.000      0.000     -0.500      1.000      0.000      0.000      0.000      0.000 92593201
     3.000      2.000      0.316     -0.591     -3.180     -0.400      1.882     -0.981      0.500     -0.259      0.275      0.595     -1.111     -5.983     -0.753     -1.845      0.941     -0.487      0.518      0.941      0.000      1.000      0.000      0.000      0.000      0.500      0.000      0.000      0.000      0.000      0.000 98570155
     3.000      0.000      0.380      2.118      0.218      0.066     -0.359      2.103      0.500          *     -1.725     -0.136     -0.761     -0.078     -0.024     -0.756     -0.180          *      0.620     -0.180      0.000      1.000      0.000      0.000      0.000      0.500      1.000      0.000      0.000      0.000      0.000 91886957
     3.000      1.000     -0.089      0.671     -0.113     -0.783     -2.124     -2.647      0.500          *     -1.725      0.190     -1.426      0.239      1.663      5.623     -1.062          *      3.663     -1.062      0.000      1.000      0.000      0.000      0.000      0.500      0.000      1.000      0.000      0.000      0.000 92714192
     3.000      1.000      0.355     -0.897      0.544     -2.709     -1.323     -1.231      0.500      0.231      0.275     -0.469      1.187     -0.720      3.585      1.629     -0.662     -0.305     -0.365      0.662      0.000      1.000      0.000      0.000      0.000     -0.500      0.000      1.000      0.000      0.000      0.000 97574102
     3.000      2.000     -2.541      2.026     -0.376     -3.573      0.095      0.519      0.500      0.940     -0.725     -0.242      0.193     -0.036     -0.340      0.049      0.048      0.089     -0.069      0.048      0.000      1.000      0.000      0.000      0.000      0.500      0.000      0.000      0.000      0.000      0.000 96574538
     3.000      2.000     -0.544      0.108      0.804      0.582     -1.070     -0.814      0.500     -0.112          *      0.582     -0.115     -0.861     -0.623      0.871     -0.535      0.120          *      0.535      0.000      0.000      0.000      1.000      1.000     -0.500      0.000      0.000      0.000      0.000      0.000 95575160
     3.000      1.000      0.710     -0.559      1.255     -0.052      1.618     -3.147      0.500      0.164     -1.225      1.148     -0.904      2.031     -0.084     -5.091      0.809      0.265     -1.981     -0.809      0.000      1.000      0.000      0.000      0.000     -0.500      0.000      1.000      0.000      0.000      0.000 91570927
     3.000      1.000     -1.412     -0.591     -1.088      0.582      0.963      2.019      0.500      1.392      1.275     -1.360     -0.569     -1.048      0.561      1.945      0.482      1.340      1.228      0.482      0.000      1.000      0.000      0.000      0.000      0.500      0.000      1.000      0.000      0.000      0.000 96576296
     3.000      1.000     -0.196     -0.591      0.316      0.820     -0.642      2.519     -0.500     -0.370     -0.225      0.126      0.379     -0.203     -0.526     -1.617      0.321      0.238      0.144      0.321      0.000      1.000      0.000      0.000      0.000     -0.500      0.000      1.000      0.000      0.000      0.000 96572986
     1.000      1.000     -0.089     -0.897     -0.394     -0.307     -0.634     -0.981      0.500          *     -1.725      0.057      0.569      0.250      0.195      0.622     -0.317          *      1.094     -0.317      0.000      1.000      0.000      0.000      0.000      0.500      0.000      1.000      0.000      1.000      0.000 97570412
     3.000      2.000      0.249      0.580      0.069      0.344      1.658     -2.564      0.500          *     -0.725      0.413      0.961      0.115      0.571     -4.251      0.829          *     -1.201     -0.829      0.000      1.000      0.000      0.000      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 98715321
     1.000      2.000     -0.042      1.938     -0.403      1.098     -0.801      1.186     -0.500      0.055     -0.725      0.034     -1.551      0.323     -0.879     -0.949      0.400     -0.044      0.580     -0.400      0.000      1.000      0.000      0.000      0.000      0.500      0.000      0.000      0.000      1.000      0.000 91585921
     3.000      2.000      1.080      0.023     -1.525      1.336     -1.506      0.936      0.500          *     -0.725     -1.626     -0.034      2.296     -2.011     -1.409     -0.753          *      1.091     -0.753      0.000      1.000      0.000      0.000      0.000      0.500      0.000      0.000      0.000      0.000      0.000 99578880
     3.000      2.000      1.010     -0.897      1.475      0.820     -0.772      0.519     -0.500      0.015      0.275     -0.780      0.693     -1.138     -0.633     -0.401      0.386     -0.012     -0.213     -0.386      0.000      1.000      0.000      0.000      0.000      0.500      0.000      0.000      0.000      0.000      0.000 90572372
     3.000      2.000      0.494     -0.897      0.075      0.165     -0.387     -1.731      0.500          *      0.775     -0.191      0.347     -0.029     -0.064      0.669     -0.193          *     -0.300      0.193      0.000      1.000      0.000      0.000      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 26710363
